Brand,Name,Image URL,Fragrantica URL
Versace,Atelier Santal Boise Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/s/a/santal_boise_2.jpg,https://www.fragrantica.com/perfume/Versace/Santal-Boise-57700.html
Versace,Atelier Vanille Rouge Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/v/a/vanille_rouge_2.jpg,https://www.fragrantica.com/perfume/Versace/Vanille-Rouge-57701.html
Versace,Atelier Fleur De Mate Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/f/l/fleur_de_mate_2.jpg,https://www.fragrantica.com/perfume/Versace/Fleur-de-Mate-70883.html
Versace,Atelier Tabac Imperial Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/t/a/tabac_imperial_2.jpg,https://www.fragrantica.com/perfume/Versace/Tabac-Imperial-70887.html
Versace,Atelier Safran Royal Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/s/a/safran_royal_2.jpg,https://www.fragrantica.com/perfume/Versace/Safran-Royal-70886.html
Versace,Atelier Gingembre Petillant Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/g/i/gingembre_petillant_2.jpg,https://www.fragrantica.com/perfume/Versace/Gingembre-Petillant-70884.html
Versace,Atelier Encens Supreme Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/e/n/encens_supreme_2.jpg,https://www.fragrantica.com/perfume/Versace/Encens-Supreme-70882.html
Versace,Atelier Iris D‘Elite Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/i/r/iris_d_lite_2.jpg,https://www.fragrantica.com/perfume/Versace/Iris-d-Elite-70885.html
Trussardi,La Vie Di Milano Walking In Porta Venezia Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/8/0/8058045432593_4.jpg,https://www.fragrantica.com/perfume/Trussardi/Walking-in-Porta-Venezia-73546.html
Trussardi,La Vie Di Milano Italian Artists Via Solferino Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/8/0/8058045432609.jpg,https://www.fragrantica.com/perfume/Trussardi/The-Italian-Artists-of-Via-Solferino-73547.html
Calvin Klein,One Essence Intense Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/3/6/3616303473396_1.jpg,https://www.fragrantica.com/perfume/Calvin-Klein/CK-One-Essence-95956.html
Tom Ford,Eau D‘ombre Leather Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/e/a/eau_d_ombre_leather_edt_100ml_1.jpg,https://www.fragrantica.com/perfume/Tom-Ford/Eau-d-Ombre-Leather-95389.html
Birkholz,Charm Mystery Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588323589_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Charm-Mystery-59878.html
Birkholz,Secret Rendezvous Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588323596_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Secret-Rendezvous-59882.html
Birkholz,Romance In Florence Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588324777_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Romance-In-Florence-74859.html
Birkholz,Mornings In Milano Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588324784_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Mornings-In-Milano-74872.html
Birkholz,Nights In Noto Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588324791_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Nights-In-Noto-74874.html
Birkholz,Portraits Of Portofino Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588324807_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Portraits-Of-Portofino-74869.html
Birkholz,Roads Of Rome Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588324814_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Roads-Of-Rome-74860.html
Birkholz,Visions Of Venice Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588324821_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Visions-Of-Venice-74870.html
Birkholz,Amber Intense Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588330990_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Amber-Intense-59875.html
Birkholz,Berlin Soul Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588331874_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Berlin-Soul-59842.html
Birkholz,Luxury Passion Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588331928_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Luxury-Passion-59874.html
Birkholz,Wild Desires Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588331959_1.jpg,https://www.fragrantica.com/perfume/Birkholz/Wild-Desires-59880.html
Birkholz,Paris Mon Amour Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588395111.jpg,https://www.fragrantica.com/perfume/Birkholz/Paris-Mon-Amour-91111.html
Birkholz,Versailles Tresor De Jardin Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/4/2/4250588395128.jpg,https://www.fragrantica.com/perfume/Birkholz/Versailles-Tresor-de-Jardin-91112.html
